Mathematics Skill,Science Skill,Literature Skill,History Skill,Art Skill,Computer Science Skill,Analytical Skills,Creative Skills,Leadership Skills,Technical Skills,Communication Skills,Interest in an Office Job,Interest in Outdoor Work,Interest in Laboratory Work,Interest in Remote Work,Interest in Working with People,Interest in Working with Technology,Interest in Working with Nature,Industry
8,4,3,2,4,4,5,7,7,9,8,6,10,5,5,7,8,4,Construction
2,3,4,6,10,5,5,9,6,5,7,5,8,5,7,7,5,5,Photography
6,5,4,3,3,6,6,6,7,7,7,4,5,6,6,5,10,4,Transportation
5,9,7,6,5,4,7,7,7,7,8,9,5,8,5,10,7,4,Health Care
9,6,6,5,5,8,6,6,7,5,8,8,3,5,6,7,5,4,Business
5,6,3,4,3,3,5,5,9,7,7,3,10,2,2,8,3,8,Husbandry
5,4,6,6,8,5,5,6,6,4,8,5,8,5,4,5,5,8,Food
7,3,7,6,6,5,5,5,8,5,7,7,6,4,7,7,6,4,Public Administration
10,6,3,4,2,9,8,7,7,10,7,8,2,9,8,8,8,4,Information Technology
4,5,4,4,8,3,5,8,5,6,8,5,5,3,6,10,7,6,Photography
6,5,5,7,5,5,6,5,9,6,8,9,4,4,8,8,6,3,Business
4,10,2,5,3,5,7,5,6,6,6,4,7,9,6,8,8,5,Biology
6,5,4,4,3,7,8,7,5,7,6,7,4,7,7,7,10,2,Utilities
5,4,3,5,3,4,5,6,7,10,7,4,8,6,6,6,9,4,Construction
8,10,4,4,2,8,9,7,6,10,9,8,1,7,10,7,8,4,Cybersecurity
5,3,5,6,3,5,6,6,8,6,10,7,3,3,7,10,6,4,Public Administration
8,7,6,4,5,7,10,6,9,10,7,10,2,9,7,5,8,2,Finance
7,4,7,6,4,3,8,4,9,4,10,10,3,3,5,7,7,3,Public Administration
4,4,7,4,8,4,4,6,7,6,8,6,4,4,7,7,7,5,Retail
10,6,4,5,5,6,10,6,8,8,5,8,4,7,9,6,10,3,Finance
4,4,6,5,7,5,6,7,5,6,6,5,7,5,4,7,3,6,Food
6,9,5,6,5,3,7,4,7,9,6,4,5,9,5,8,8,7,Biology
4,4,7,7,9,4,6,9,5,5,8,6,5,4,7,7,6,6,Photography
6,6,3,3,5,5,6,4,7,8,6,5,9,5,6,5,6,6,Construction
6,5,4,5,6,5,7,6,8,10,7,8,5,6,4,7,8,4,Manufacturing
10,9,4,3,3,8,8,6,8,9,7,8,3,10,6,7,8,2,Mathematics
10,9,5,5,6,9,8,5,8,9,6,9,3,8,6,8,9,5,Aerospace
6,2,9,8,7,4,8,10,8,6,7,7,4,3,8,7,6,4,Advertising
9,7,5,3,5,10,8,7,8,9,6,8,1,9,10,5,8,1,Cybersecurity
3,4,3,5,6,2,5,7,6,7,5,6,5,4,6,8,4,5,Food
6,6,9,7,6,7,8,9,6,5,7,6,5,8,6,10,5,4,Educational
6,5,6,6,6,6,6,7,7,5,10,9,6,3,6,9,5,2,Real Estate
10,6,4,3,5,9,10,7,8,8,6,9,3,7,8,7,9,4,Information Technology
9,8,4,5,3,5,9,6,6,9,6,7,4,10,5,7,9,5,Chemistry
4,3,8,7,5,6,7,6,10,4,9,9,4,2,6,10,7,4,Public Administration
4,6,5,5,4,3,7,4,7,5,8,3,10,4,3,6,6,10,Agriculture
8,6,6,4,3,8,9,6,9,8,6,8,4,7,6,8,7,1,Finance
8,10,4,5,5,8,10,5,8,9,7,8,2,7,8,8,10,4,Cybersecurity
6,6,4,5,2,7,6,6,7,7,9,7,5,7,7,7,10,4,Telecommunications
3,4,4,4,9,3,7,9,6,6,8,7,6,4,6,8,5,6,Photography
5,10,2,6,4,5,8,4,7,6,8,7,5,9,6,6,8,7,Biology
2,6,4,4,5,4,5,6,6,7,6,3,7,4,5,5,3,8,Food
6,8,3,4,6,4,9,6,6,9,5,5,4,6,4,5,8,3,Manufacturing
7,8,5,4,6,3,6,6,9,9,9,7,6,5,7,8,5,6,Health Care
5,4,8,7,6,6,7,6,9,4,9,7,6,3,5,9,6,3,Real Estate
3,5,6,6,9,3,5,9,5,6,6,8,5,4,5,9,4,7,Photography
9,5,3,3,4,8,9,6,5,8,6,6,4,7,4,8,10,3,Utilities
3,4,8,6,7,5,7,7,6,3,9,8,3,3,6,10,4,4,Publishing
10,8,4,4,4,9,10,6,7,7,4,9,5,8,9,5,9,5,Mathematics
8,6,5,7,3,6,10,4,7,9,8,8,4,9,6,5,8,1,Financial Services
9,8,5,5,2,7,10,6,8,8,8,9,4,7,9,5,10,4,Engineering
7,5,2,3,4,7,9,4,6,8,5,8,6,7,5,5,10,5,Utilities
9,4,6,6,2,9,10,6,7,10,8,9,4,7,7,5,8,3,Financial Services
5,5,3,3,6,4,7,7,8,8,5,6,7,4,3,6,6,3,Construction
7,9,8,7,8,5,8,7,7,7,10,9,7,6,5,7,8,5,Educational
10,9,5,4,5,8,8,8,5,10,7,9,2,7,10,6,10,3,Cybersecurity
9,9,3,5,4,10,8,8,7,9,7,8,2,8,9,7,10,2,Cybersecurity
10,7,5,2,2,10,8,6,8,8,8,8,4,10,8,7,10,3,Cybersecurity
4,4,8,6,7,6,6,9,8,6,7,7,3,4,8,9,5,5,Retail
10,9,2,2,3,8,9,5,7,10,4,8,3,9,6,7,10,3,Mathematics
6,10,5,3,5,6,10,4,6,9,7,5,7,10,4,5,6,7,Biology
8,8,3,3,4,8,9,7,8,9,6,7,4,7,5,6,8,6,Telecommunications
2,5,5,4,9,4,8,8,6,8,7,6,5,2,7,8,7,7,Photography
10,9,5,5,5,8,10,5,9,8,5,8,6,8,9,7,10,5,Engineering
9,5,4,6,2,8,9,4,8,7,9,6,4,6,8,5,10,3,Telecommunications
8,5,5,4,3,8,7,7,6,8,9,7,5,6,8,7,7,4,Telecommunications
7,9,4,4,5,4,8,7,8,7,5,7,5,7,4,8,8,6,Biology
10,7,2,2,3,10,10,5,8,9,5,9,6,10,8,7,10,6,Engineering
5,2,6,6,7,6,5,5,7,6,8,9,7,4,8,10,6,5,Real Estate
6,5,5,8,6,5,9,6,10,8,10,10,2,5,6,9,8,3,Business
4,5,3,4,7,3,5,8,8,5,5,6,8,2,4,6,3,6,Food
9,8,2,4,2,9,8,6,6,8,8,9,3,6,10,6,10,3,Information Technology
6,4,8,6,7,3,7,8,9,5,9,7,4,4,6,10,4,4,Real Estate
10,10,4,2,2,6,10,4,5,8,4,9,5,7,8,6,10,3,Mathematics
8,8,5,2,3,8,10,5,5,9,9,8,2,8,9,6,8,3,Cybersecurity
5,6,6,3,5,3,4,9,8,5,8,4,6,3,5,7,3,6,Food
5,2,7,7,10,4,8,9,5,8,6,5,8,5,6,9,7,6,Photography
7,9,3,5,2,5,8,7,5,10,7,6,5,8,5,4,7,4,Chemistry
10,10,5,5,5,8,10,6,6,9,8,10,2,7,9,7,10,4,Cybersecurity
6,2,5,7,7,4,6,8,9,6,8,8,5,2,7,8,6,2,Retail
9,5,5,5,3,7,6,7,8,8,7,10,4,4,7,10,7,2,Business
5,2,8,7,6,4,7,6,5,3,8,10,3,2,8,10,5,4,Publishing
3,2,8,6,7,4,5,9,7,7,10,7,6,5,8,8,5,4,Advertising
8,8,3,5,5,10,8,6,8,9,8,9,4,7,10,5,9,3,Cybersecurity
4,7,4,3,2,6,8,6,7,7,6,5,7,6,4,6,5,5,Waste Management
4,4,6,7,9,6,8,10,6,6,6,5,5,3,6,9,7,5,Photography
10,10,2,5,2,5,10,7,5,8,5,6,6,9,8,5,10,4,Chemistry
4,2,7,7,9,3,5,8,8,2,10,8,6,4,7,8,4,2,Arts and Entertainment
10,9,5,4,5,9,10,8,7,10,6,9,6,10,6,8,9,6,Engineering
6,6,3,2,6,6,9,6,6,7,8,6,5,5,6,5,10,3,Manufacturing
2,4,7,5,9,4,7,10,7,5,7,8,6,3,8,8,5,8,Photography
8,8,5,4,6,2,9,5,9,8,9,9,3,8,5,9,7,5,Health Care
8,5,5,5,6,5,6,5,8,4,8,8,4,2,7,7,7,2,Real Estate
8,9,2,2,3,9,10,5,8,10,8,10,4,9,9,6,9,4,Cybersecurity
6,6,5,6,5,3,8,7,8,7,8,8,6,3,6,10,6,2,Administrative and Support Services
7,6,4,6,2,3,6,6,6,7,6,3,8,5,4,6,3,7,Agriculture
2,2,6,6,8,1,7,9,6,4,8,8,5,2,5,8,2,3,Arts and Entertainment
7,5,5,5,5,4,5,7,6,8,8,4,10,3,6,8,6,6,Construction
4,4,5,4,2,7,8,5,5,8,5,4,8,6,6,7,7,3,Transportation
9,9,4,2,4,6,10,5,8,10,5,5,6,8,6,6,10,6,Chemistry
5,5,3,5,1,3,5,4,6,6,7,6,9,3,3,7,7,6,Waste Management
8,10,3,4,4,6,9,7,8,8,4,5,6,9,7,6,10,6,Chemistry
6,6,6,5,3,8,9,8,10,6,9,8,3,7,9,10,6,2,Business
3,3,10,8,7,3,8,9,7,6,10,9,6,4,7,10,3,2,Publishing
8,5,3,2,4,5,8,4,6,8,7,6,7,3,4,8,8,3,Construction
3,6,3,3,5,5,5,9,7,7,8,6,8,4,4,8,6,6,Food
4,8,5,6,4,4,5,3,8,4,8,5,9,5,4,5,3,10,Agriculture
4,5,4,3,3,4,6,6,6,9,4,4,7,3,4,6,7,8,Waste Management
5,4,8,6,3,4,6,5,8,3,9,8,4,4,6,8,6,4,Public Administration
4,3,8,6,7,6,7,9,6,7,8,9,4,4,9,8,7,4,Advertising
6,3,5,6,7,4,7,6,8,4,8,8,3,2,6,8,5,5,Retail
7,5,5,3,3,10,7,7,8,9,6,8,4,5,5,5,9,3,Telecommunications
6,4,8,6,6,5,7,4,9,5,9,9,5,4,6,8,5,2,Legal Services
2,5,8,5,8,3,8,10,5,4,8,7,6,4,7,9,4,2,Arts and Entertainment
6,8,4,6,5,5,6,7,7,8,8,8,7,8,4,8,9,5,Utilities
9,4,8,7,5,6,9,6,7,7,8,9,3,5,8,10,8,4,Business
6,9,4,6,1,4,6,6,7,5,6,4,9,6,4,7,6,8,Agriculture
5,7,4,5,4,1,5,5,9,6,9,4,10,2,4,9,4,8,Husbandry
6,5,2,2,3,7,6,5,6,8,6,8,5,6,7,6,10,4,Manufacturing
6,6,3,6,3,4,7,4,8,8,6,7,6,4,3,6,8,5,Transportation
3,3,5,4,3,4,8,5,5,4,7,8,3,2,5,8,4,2,Administrative and Support Services
5,9,6,4,6,5,6,6,6,8,9,8,5,5,5,9,8,4,Health Care
8,10,4,6,6,8,9,7,8,10,7,9,3,7,7,8,8,5,Aerospace
6,8,3,3,3,5,8,6,8,7,4,5,6,4,6,8,8,5,Waste Management
5,2,7,6,9,5,7,9,8,5,8,6,7,4,5,8,5,5,Photography
9,6,6,4,3,7,10,5,9,9,8,9,4,8,9,6,10,2,Finance
5,3,7,8,5,5,8,5,8,5,8,9,5,2,7,8,4,6,Public Administration
6,4,5,7,5,7,6,7,9,6,8,8,6,3,7,7,7,3,Retail
5,3,6,4,7,5,4,8,9,6,9,8,6,4,5,7,6,5,Retail
7,4,2,3,5,7,8,4,5,9,5,5,7,5,3,4,9,4,Transportation
3,3,6,5,8,5,7,10,5,4,10,8,5,2,9,10,7,6,Advertising
4,3,8,8,5,3,7,8,5,4,10,8,4,5,8,10,4,4,Publishing
5,3,5,5,3,6,6,6,9,4,9,8,5,2,7,7,5,6,Public Administration
8,10,5,6,4,10,8,6,6,9,8,10,3,9,6,5,10,2,Aerospace
9,4,3,5,3,8,8,3,9,10,6,9,2,7,6,5,8,2,Financial Services
4,5,7,5,5,5,8,5,5,6,10,10,5,3,4,8,6,5,Administrative and Support Services
3,4,7,6,7,4,8,8,8,7,7,6,3,2,8,8,4,4,Advertising
9,7,3,7,5,8,9,7,9,8,5,8,2,8,9,6,7,4,Finance
8,8,5,4,4,8,8,8,8,8,9,8,1,7,9,6,10,3,Cybersecurity
10,7,2,2,5,9,10,7,5,8,6,8,4,8,8,5,9,2,Cybersecurity
7,10,5,5,5,6,9,5,6,9,6,7,6,9,7,7,8,5,Chemistry
10,9,4,2,4,9,10,7,7,10,8,9,2,7,9,6,8,4,Cybersecurity
6,5,3,3,4,5,6,7,8,7,7,5,6,6,5,5,9,3,Utilities
6,3,8,5,4,3,8,7,10,5,8,7,5,2,7,10,5,3,Public Administration
9,7,4,5,2,8,9,6,8,10,6,7,3,7,9,5,8,3,Information Technology
2,4,9,6,8,3,8,10,5,3,10,8,8,2,5,9,5,2,Arts and Entertainment
8,7,6,7,3,8,9,6,8,9,5,9,4,7,6,6,10,2,Financial Services
9,5,4,5,5,6,9,3,8,9,5,8,1,8,6,8,10,3,Financial Services
8,7,3,5,3,5,9,7,6,9,5,5,3,7,5,8,9,5,Manufacturing
4,5,6,5,6,4,6,8,7,7,5,3,7,5,4,7,6,5,Food
7,7,4,4,5,6,7,4,6,10,8,4,9,4,5,7,9,6,Construction
6,5,2,4,5,3,8,4,9,7,8,6,8,4,6,8,8,3,Construction
4,5,3,3,2,2,7,5,6,5,5,5,7,3,3,5,4,8,Agriculture
7,7,4,5,2,7,9,6,5,7,9,9,4,7,5,6,9,4,Telecommunications
3,3,7,6,3,3,6,6,7,6,10,10,4,2,5,10,7,5,Administrative and Support Services
10,6,5,4,3,6,10,7,8,10,8,9,2,6,6,7,9,2,Finance
8,5,6,3,3,7,8,5,5,9,9,6,5,5,8,5,7,6,Telecommunications
3,4,9,7,8,1,5,8,8,2,10,6,6,2,8,9,2,5,Arts and Entertainment
8,8,2,3,3,6,7,4,8,10,5,5,6,5,5,7,10,3,Utilities
7,5,2,4,2,2,7,5,6,7,6,4,10,5,5,6,6,10,Agriculture
7,6,8,7,6,5,8,8,8,7,9,9,4,7,7,10,6,7,Educational
5,5,7,8,3,5,8,4,8,3,7,9,6,5,5,10,5,3,Public Administration
10,9,5,2,4,9,9,6,7,9,7,9,5,8,9,4,8,5,Mathematics
8,7,8,6,5,6,7,7,7,6,10,8,5,5,7,9,7,4,Business
7,8,6,4,5,7,6,6,7,7,8,9,3,7,6,7,8,5,Telecommunications
4,6,3,5,8,3,7,7,7,4,5,3,5,5,7,6,3,5,Food
9,6,5,6,5,7,8,5,7,9,5,8,3,7,7,8,9,2,Finance
5,6,10,6,6,3,9,7,6,5,10,10,4,2,6,9,6,4,Legal Services
6,5,5,5,7,4,8,6,7,5,10,9,4,3,8,10,4,4,Real Estate
8,8,5,3,4,5,8,5,7,10,6,5,6,9,5,6,7,5,Chemistry
5,10,4,2,5,1,4,4,5,4,8,2,10,3,3,5,5,7,Agriculture
1,5,7,5,8,1,6,10,8,2,9,7,7,5,5,8,5,4,Arts and Entertainment
8,5,3,4,4,9,8,3,9,7,8,10,3,6,6,5,8,3,Financial Services
8,5,3,4,4,6,10,5,9,9,5,8,2,6,7,7,7,3,Finance
4,9,5,5,5,6,9,6,8,6,7,7,6,7,4,6,8,5,Biology
2,8,4,3,4,1,6,8,9,6,6,2,9,5,1,7,2,8,Husbandry
4,5,4,2,3,3,4,8,7,5,6,1,10,4,4,8,2,9,Husbandry
7,4,2,3,3,6,6,4,8,8,5,6,8,6,3,5,9,3,Construction
6,3,8,8,6,6,8,4,6,4,9,8,4,2,5,10,6,3,Legal Services
2,8,4,2,5,3,4,6,9,5,7,2,9,3,1,7,3,9,Husbandry
9,7,7,7,5,8,7,8,7,5,7,8,4,7,8,8,5,2,Business
6,7,7,5,6,6,9,8,7,7,10,8,4,5,8,8,7,2,Business
7,8,2,4,4,5,10,6,6,8,5,5,5,10,7,8,6,8,Biology
6,5,4,4,2,4,8,6,8,6,6,7,8,6,5,7,5,5,Waste Management
6,7,6,7,3,5,8,8,8,8,7,10,3,7,8,8,8,4,Business
7,5,8,6,8,6,6,8,6,4,7,9,3,4,7,8,7,2,Retail
2,3,9,5,8,2,6,9,7,4,9,6,6,5,7,9,2,3,Arts and Entertainment
6,7,7,6,7,7,7,9,7,7,9,7,7,5,5,10,6,6,Educational
8,7,8,8,5,7,9,7,8,6,8,10,3,7,7,8,6,2,Business
4,4,8,7,10,6,6,10,8,7,10,8,3,5,7,9,4,4,Advertising
6,4,5,4,5,7,5,7,8,8,5,6,5,5,5,6,8,6,Transportation
4,8,1,6,5,1,7,4,8,5,5,2,9,6,3,7,6,7,Agriculture
4,5,8,6,3,3,5,5,8,5,10,7,5,2,5,8,4,2,Administrative and Support Services
9,6,2,5,4,8,8,5,8,10,6,10,1,7,8,8,8,4,Information Technology
4,2,8,5,5,6,5,9,9,4,8,6,3,3,7,10,5,3,Retail
5,9,3,3,1,3,7,6,7,6,7,4,9,6,4,8,3,10,Agriculture
7,6,8,7,7,5,6,9,9,6,8,8,4,8,8,10,6,7,Educational
8,4,8,8,3,5,9,6,7,7,9,8,2,6,6,8,7,5,Business
4,5,3,5,5,4,7,6,6,9,6,6,5,5,4,4,8,4,Transportation
5,5,7,6,6,7,4,9,9,4,10,6,5,2,7,7,5,3,Retail
5,8,3,6,4,6,9,4,6,7,7,5,5,8,6,8,7,6,Biology
8,7,2,6,4,5,7,7,5,8,7,8,5,7,4,8,9,2,Utilities
6,9,2,5,4,1,4,3,7,4,5,4,7,3,3,7,3,8,Agriculture
10,10,4,4,2,6,10,7,5,8,5,9,5,8,7,4,9,2,Mathematics
6,2,9,6,7,6,5,9,7,6,7,8,5,2,9,9,4,4,Advertising
8,5,3,2,4,4,7,6,8,9,5,3,9,4,4,6,7,3,Construction
6,9,7,7,6,3,7,5,7,9,7,6,3,5,6,8,7,4,Health Care
4,2,10,8,6,3,7,9,8,6,9,8,6,3,5,8,6,2,Publishing
8,9,3,4,5,7,10,5,7,7,5,8,4,9,7,6,10,6,Chemistry
10,4,4,7,4,7,9,3,8,10,6,10,3,8,7,5,7,4,Financial Services
5,5,5,2,3,5,6,5,6,8,8,5,6,8,5,5,8,2,Manufacturing
7,6,3,3,4,9,10,6,5,10,7,9,3,8,10,6,9,1,Information Technology
7,5,4,3,3,8,7,4,6,10,7,8,7,5,6,5,10,3,Utilities
10,10,5,3,2,10,8,7,8,10,7,8,3,8,9,8,10,2,Cybersecurity
4,8,4,3,4,4,7,3,7,9,6,5,8,4,3,8,5,7,Waste Management
8,7,6,6,6,7,8,8,7,8,7,9,5,5,8,7,7,4,Business
7,9,2,5,4,4,10,5,7,6,7,5,4,8,6,5,6,7,Biology
5,3,6,6,7,4,7,6,7,5,9,10,5,2,8,7,6,2,Real Estate
6,5,4,4,3,8,6,7,5,7,7,5,6,6,5,8,8,2,Utilities
4,8,2,3,2,5,8,6,7,7,4,6,7,5,5,6,7,8,Waste Management
6,9,3,5,5,5,9,5,7,8,5,7,5,10,4,8,6,8,Biology
8,8,4,7,5,3,6,5,9,9,7,9,4,5,5,10,7,6,Health Care
6,5,10,9,6,4,10,5,6,6,10,8,5,3,6,10,3,4,Legal Services
10,10,3,3,2,8,9,5,8,9,6,10,2,9,10,8,10,3,Cybersecurity
6,2,9,6,6,4,7,6,7,4,10,8,5,2,6,9,5,5,Publishing
6,3,6,5,3,6,5,6,7,3,9,7,4,4,6,9,5,6,Public Administration
3,7,5,3,5,1,6,6,9,6,8,3,8,5,3,9,2,9,Husbandry
10,10,2,4,4,6,9,5,6,9,6,7,2,9,6,7,8,2,Mathematics
9,9,5,4,3,8,10,8,7,8,6,10,1,10,10,7,10,3,Cybersecurity
10,8,4,5,2,9,10,8,8,9,6,8,2,9,8,7,9,3,Information Technology
7,5,3,2,2,3,7,5,8,5,5,4,7,5,3,6,6,7,Agriculture
5,8,4,3,5,5,7,7,7,7,7,7,5,10,6,5,9,7,Biology
7,6,4,5,4,8,9,7,5,9,6,7,3,6,9,6,8,3,Information Technology
6,5,2,5,2,6,6,5,8,6,6,7,9,5,5,8,6,7,Waste Management
7,7,5,2,2,4,7,3,8,7,6,4,9,5,4,6,6,6,Waste Management
9,10,3,4,2,8,10,6,6,9,6,9,2,8,8,6,10,1,Cybersecurity
4,5,7,7,10,4,6,9,7,6,9,6,6,5,6,8,4,7,Photography
5,10,5,3,2,2,6,3,7,4,6,2,8,5,3,6,4,10,Agriculture
9,8,4,6,3,6,8,4,6,9,6,8,3,6,9,8,9,1,Finance
5,3,5,8,4,4,5,6,9,3,9,7,4,3,5,10,4,3,Public Administration
8,9,5,4,2,10,10,5,5,10,8,7,2,6,8,7,9,3,Information Technology
3,2,6,4,9,6,7,9,7,5,7,8,5,4,6,8,4,6,Photography
10,9,4,4,3,6,10,4,8,9,5,5,4,10,7,6,10,3,Chemistry
6,5,7,6,6,4,6,5,7,6,9,9,5,2,4,8,7,4,Administrative and Support Services
3,3,9,7,5,4,8,6,5,5,10,8,5,4,6,8,6,4,Publishing
9,10,6,7,5,10,10,8,7,9,9,9,5,9,6,5,8,5,Aerospace
6,6,2,4,4,6,6,5,8,6,5,6,9,3,3,8,8,7,Waste Management
6,10,6,6,6,2,8,6,7,9,7,7,4,7,5,10,8,6,Health Care
6,6,4,6,2,10,9,6,8,8,8,9,5,5,6,8,9,5,Telecommunications
9,9,5,2,4,8,10,8,6,8,7,8,4,7,10,7,8,3,Cybersecurity
9,8,7,8,6,5,9,7,8,5,7,6,4,8,5,7,7,4,Educational
6,4,2,2,4,4,8,4,6,9,8,3,7,4,6,6,9,3,Construction
7,4,6,8,5,7,8,6,7,7,9,10,3,4,9,10,6,4,Business
6,5,2,3,1,4,5,6,6,6,7,6,8,6,5,5,5,8,Waste Management
10,9,3,2,5,8,8,4,6,8,4,7,3,10,6,7,8,2,Mathematics
7,8,4,4,4,10,7,4,7,9,7,8,4,5,8,7,10,3,Telecommunications
10,8,3,4,4,7,9,4,6,8,7,8,4,9,6,7,7,3,Chemistry
10,10,3,5,2,9,9,7,5,10,5,6,4,10,6,7,9,2,Mathematics
5,8,4,5,3,6,9,4,6,6,8,7,4,9,5,5,7,5,Biology
10,6,6,5,2,8,9,6,6,7,5,8,2,6,9,8,9,3,Financial Services
5,5,2,3,6,4,9,6,7,10,8,8,3,5,6,7,9,2,Manufacturing
5,5,5,4,5,7,6,6,6,9,7,7,7,5,4,7,7,6,Transportation
5,6,3,4,3,3,5,7,9,6,6,4,10,3,2,8,2,9,Husbandry
9,7,5,6,3,9,9,5,5,10,8,6,3,5,8,7,9,4,Telecommunications
3,4,9,8,10,6,8,8,8,5,7,8,6,5,9,7,6,3,Advertising
9,6,4,6,3,8,7,6,6,8,7,9,3,6,8,6,8,6,Telecommunications
10,10,3,4,3,6,9,7,6,8,7,9,2,7,6,4,8,4,Mathematics
5,3,7,7,4,6,6,7,8,6,9,10,4,2,5,8,5,3,Real Estate
10,9,2,2,2,10,9,6,7,10,5,7,6,8,9,7,8,6,Engineering
3,8,5,5,4,4,4,6,6,5,8,2,8,5,3,6,5,9,Agriculture
6,3,8,8,6,5,8,7,7,5,10,7,5,3,6,9,6,5,Public Administration
8,6,3,6,3,7,9,7,7,8,7,6,4,6,5,6,9,5,Telecommunications
8,7,2,5,5,10,10,5,9,8,7,6,6,8,7,6,8,7,Engineering
6,7,3,5,4,10,7,5,8,9,7,7,4,7,8,6,8,5,Telecommunications
6,5,8,5,6,5,7,7,8,5,10,9,3,4,6,9,4,3,Public Administration
10,10,5,4,2,9,9,5,7,7,5,6,3,10,8,7,10,2,Mathematics
8,8,3,2,5,10,8,8,7,8,5,8,5,10,9,7,8,4,Engineering
6,5,6,5,6,6,8,8,7,6,7,10,7,2,5,9,4,3,Real Estate
3,5,6,7,8,5,7,10,5,7,9,6,6,4,8,10,5,6,Photography
5,4,2,3,6,4,5,5,6,7,7,3,7,6,5,8,8,5,Construction
3,8,2,5,5,2,6,5,6,5,9,4,10,3,2,9,4,9,Husbandry
7,6,5,8,3,3,6,6,10,4,7,10,6,5,4,8,6,5,Public Administration
3,4,9,8,9,6,8,9,8,6,9,7,4,5,8,10,5,3,Advertising
3,3,10,6,5,5,6,7,8,6,10,7,6,4,5,9,4,2,Publishing
8,7,3,5,2,8,10,4,7,9,5,8,3,7,7,6,7,1,Finance
10,7,3,4,5,9,8,6,9,9,5,6,4,9,7,7,10,7,Engineering
8,6,5,7,3,9,8,4,7,8,7,10,1,8,6,6,9,4,Finance
5,6,7,4,6,4,7,7,5,4,10,10,6,5,7,10,4,3,Administrative and Support Services
6,2,6,5,6,5,7,5,8,5,9,8,6,4,5,7,4,2,Real Estate
8,5,4,5,5,6,8,7,7,7,6,8,4,5,4,8,7,3,Utilities
6,5,5,4,1,4,7,6,7,8,6,7,7,3,6,6,6,6,Waste Management
7,6,9,8,4,3,10,7,6,6,9,9,3,5,7,8,5,5,Legal Services
7,5,2,2,5,4,6,4,9,8,5,6,6,6,4,7,8,2,Manufacturing
9,8,4,4,4,8,8,5,6,9,9,10,4,7,9,8,8,4,Cybersecurity
3,7,3,6,7,2,7,7,5,5,5,6,5,2,5,6,6,5,Food
5,4,5,5,4,6,5,6,7,8,7,5,8,6,3,6,7,3,Transportation
7,3,5,5,3,5,7,4,8,6,9,10,5,3,4,8,7,6,Public Administration
4,6,8,5,4,3,6,6,6,6,9,9,6,5,6,8,5,4,Administrative and Support Services
5,4,4,2,4,4,5,6,7,7,8,3,7,3,6,6,8,6,Construction
5,7,3,3,5,3,7,3,8,4,8,4,8,4,4,7,6,7,Agriculture
5,7,2,4,3,2,5,5,8,5,7,2,9,4,4,8,4,8,Husbandry
8,9,5,2,2,8,9,6,7,8,8,10,3,7,8,7,10,3,Information Technology
9,10,4,6,4,9,9,5,6,9,8,8,2,10,8,7,8,3,Aerospace
2,7,3,5,8,3,7,8,8,6,8,6,8,5,7,8,4,7,Food
3,2,10,7,5,5,7,7,6,5,8,10,6,2,8,8,4,4,Publishing
5,4,7,7,6,4,7,7,9,5,8,7,3,3,4,10,5,5,Public Administration
5,2,9,7,7,3,9,6,8,5,8,9,5,2,5,9,3,3,Publishing
5,6,3,3,3,3,8,4,8,10,5,3,9,4,5,8,7,4,Construction
